"Client Name","Invoice Number","Tax Amount","Ex Tax Amount","Inc Tax Amount","Employee","Type","Description","Work Date","Start Time","Finish Time","Break","Hours"
"The Royal Alfred","","$19.09","$190.91","$210.00","Rachel Gibson","Staff Services","Royal Alfred - March2014","12/03/2014","12:00","18:30","0.5","6"
"The Royal Alfred","","$19.09","$190.91","$210.00","Rachel Gibson","Staff Services","Royal Alfred - March2014","10/03/2014","12:00","18:30","0.5","6"
"The Royal Alfred","","$19.09","$190.91","$210.00","Lily Clipton","Staff Services","Royal Alfred - March2014","12/03/2014","12:00","18:30","0.5","6"
"The Royal Alfred","","$33.41","$334.09","$367.50","Jess Killer","Staff Services","Royal Alfred - March2014","17/03/2014","12:00","23:00","0.5","10.5"
"Melbourne Cricket Club","","$19.55","$195.45","$215.00","Stafford Mastered","Staff Services","AFL ROUND 1 - Corporate Boxes ","16/03/2014","19:00","01:00","0.5","5.5"
"Melbourne Cricket Club","","$19.55","$195.45","$215.00","Stafford Mastered","Staff Services","AFL ROUND 1 - Corporate Boxes ","23/03/2014","19:00","01:00","0.5","5.5"
"Melbourne Cricket Club","","$25.45","$254.55","$280.00","Brian Hudson","Staff Services","AFL ROUND 1 - Corporate Boxes ","07/03/2014","14:00","22:00","0","8"
"Melbourne Cricket Club","","$25.91","$259.09","$285.00","Stafford Mastered","Staff Services","MCG - June 2014","20/03/2014","12:30","22:30","0.5","9.5"
"The Royal Alfred","","$19.09","$190.91","$210.00","Jess Killer","Staff Services","Royal Alfred - March2014","11/03/2014","12:00","18:30","0.5","6"
"The Royal Alfred","","$19.09","$190.91","$210.00","Rachel Gibson","Staff Services","Royal Alfred - March2014","13/03/2014","12:00","18:30","0.5","6"
"The Royal Alfred","","$43.41","$434.09","$477.50","Jess Killer","Staff Services","Royal Alfred - March2014","16/03/2014","12:00","23:00","0.5","10.5"
"The Royal Alfred","","$33.41","$334.09","$367.50","Stafford Mastered","Staff Services","Royal Alfred - March2014","17/03/2014","12:00","23:00","0.5","10.5"
"The Royal Alfred","","$33.41","$334.09","$367.50","Rachel Gibson","Staff Services","Royal Alfred - March2014","17/03/2014","12:00","23:00","0.5","10.5"
"The Royal Alfred","","$33.41","$334.09","$367.50","Stafford Mastered","Staff Services","Royal Alfred - March2014","18/03/2014","12:00","23:00","0.5","10.5"
"The Royal Alfred","","$33.41","$334.09","$367.50","Rachel Gibson","Staff Services","Royal Alfred - March2014","18/03/2014","12:00","23:00","0.5","10.5"
"The Royal Alfred","","$33.41","$334.09","$367.50","Jess Killer","Staff Services","Royal Alfred - March2014","18/03/2014","12:00","23:00","0.5","10.5"
"The Royal Alfred","","$33.41","$334.09","$367.50","Stafford Mastered","Staff Services","Royal Alfred - March2014","19/03/2014","12:00","23:00","0.5","10.5"
"The Royal Alfred","","$33.41","$334.09","$367.50","Rachel Gibson","Staff Services","Royal Alfred - March2014","19/03/2014","12:00","23:00","0.5","10.5"
"The Royal Alfred","","$43.41","$434.09","$477.50","Stafford Mastered","Staff Services","Royal Alfred - March2014","16/03/2014","12:00","23:00","0.5","10.5"
"The Royal Alfred","","$43.41","$434.09","$477.50","Rachel Gibson","Staff Services","Royal Alfred - March2014","16/03/2014","12:00","23:00","0.5","10.5"
