"Title","First Name","Last Name","Gender","Date of birth","Rating","Address","Suburb","Postcode","State","Country","Email","Emergency Contact","Emergency Phone","Account Name","BSB","Account Number","Employed As","TFN Number","ABN Number","Choice of superannuation","Super Fund Name","External ID"
"Mr","Andrew","Hyatttest","m","30/11/2012","2.6","24 Park St","Hawthorn","3122","VIC","AU","andrew.hyatt@smmail.com","Cherry","","","","","tfn","","","yes","HOST Plus",""
"Miss","Angela","Lindsay","f","","2.5","80 Bourke St","Melbourne","3000","VIC","AU","angela.lindsay@smmail.com","Lily","","","","","tfn","","","yes","HOST Plus",""
"Mr","Brian","Hudson","m","","1.9","23 Liddiard St","Hawthorn","3122","VIC","AU","brian.hudson@smmail.com","Berry","","","","","tfn","","","yes","HOST Plus",""
"Mr","Edward","Chaplin","m","","3.4","7 Rose St","Sandringham","3058","VIC","AU","edward.chaplin@smmail.com","Edith","","","","","tfn","","","yes","HOST Plus",""
"Miss","Fiona","Harris","f","","4.9","2 Lidiard St","Camberwell","3123","VIC","AU","fiona.harris@smmail.com","Fendy","","","","","tfn","","","yes","HOST Plus",""
"Mr","Gary","Burke","m","","0","90 Smith St","KEW","3121","VIC","AU","gary.burke@smmail.com","Glenn","","","","","tfn","","","yes","HOST Plus",""
"Mr","Howard","Leigh","m","","0","8 Bell St","Camberwell","3123","VIC","AU","howard.leigh@smmail.com","Henny","","","","","tfn","","","yes","HOST Plus",""
"Miss","Jess","Killer","f","","0","7 Whiteman St","Melbourne","3000","VIC","AU","jess.killer@smmail.com","Sam","","","","","tfn","","","yes","HOST Plus",""
"Miss","Judith","Palse","f","","0","99 Bank St","Cranbourne","3400","VIC","AU","judith.palse@smmail.com","Jade","","","","","tfn","","","yes","HOST Plus",""
"Mr","KaushtuvHB","Gurung","m","02/02/1993","0","48 Burrindi Rd","","3181","","AU","kaushtuvgurung@gmail.com","","","","","","tfn","","","yes","Host Plus",""
"Miss","Kelly","Chen","f","","0","8 Flinders St","Melbourne","3000","VIC","AU","kelly.chen@smmail.com","Ken","","","","","tfn","","","yes","HOST Plus",""
"Miss","Lily","Clipton","f","","1.4","7 Flower st","Dandenong","3600","VIC","AU","lily.clipton@smmail.com","Lusi","","","","","tfn","","","yes","HOST Plus",""
"Mrs","Lucy","Dale","f","","3","9 Iron st","Brighton","3300","VIC","AU","lucy.dale@smmail.com","Lina","","","","","tfn","","","yes","HOST Plus",""
"Mr","Luke","Smith","m","","1.7","3 Collins St","East Camberwell","3123","VIC","AU","luke.smith@smmail.com","Lucy","","","","","tfn","","","yes","HOST Plus",""
"Mr","Paul","Gilbert","m","","2.4","50 Town St","Glen Huntly","3151","VIC","AU","paul.gilbert@smmail.com","Pillip","","","","","tfn","","","yes","HOST Plus",""
"Miss","Rachel","Gibson","f","","0","12 Square st","Melbourne","3000","VIC","AU","rachel.gibson@smmail.com","Randy","","","","","tfn","","","yes","HOST Plus",""
"Mr","Richard","Gerald","m","","0","26 Monash FWY","Dandenong","3076","VIC","AU","richard.gerald@smmail.com","Rain","","","","","tfn","","","yes","HOST Plus",""
"Mrs","Rio","Christian","f","30/11/2012","0","40 Hull St","Hawthorn","3122","VIC","AU","rio.chris@smmail.com","Rena","","","","","tfn","","","yes","HOST Plus",""
"Miss","Sheila","Hondie","f","","0","45 Team st","Glen Roy","3145","VIC","AU","sheila.hondie@smmail.com","Jes","","","","","tfn","","","yes","HOST Plus",""
"Mr","Stafford","Mastered","m","30/11/2012","2.4","20A Macquaire St","Prahran","3181","VIC","AU","propagate.au@gmail.com","Mr Stafford Mastered","059 554 315","Propagate","","","tfn","","12 345 567 789","no","",""
"Miss","Susie","Howie","f","","0","9 Hull St","Hawthorn","3121","VIC","AU","susie.howie@smmail.com","Sean","","","","","tfn","","","yes","HOST Plus",""
"Mr","Thomas","Edison","m","","4.9","34 Stanley St","Melbourne","3000","VIC","AU","thomas.edison@smmail.com","Teddy","","","","","tfn","","","yes","HOST Plus",""
"Mr","William","Tent","m","","0","20 Riverbank St","Melbourne","3000","VIC","AU","william.tent@smmail.com","Wendy","","","","","tfn","","","yes","HOST Plus",""
