"Title","Rating","First Name","Last Name","Gender","Date of birth","Address","Suburb","City","Postcode","State","Country","Email","Mobile Phone","External ID","Emergency Contact","Emergency Phone","Account Name","BSB","Account Number","Employed As","TFN Number","ABN Number","Choice of superannuation","Employee ID Number","Super Fund Name","Membership Number"
"Mr","2.6","Andrew","Hyatttest","m","30/11/2012","andrew.hyatt@smmail.com","Hawthorn","Melbourne","3122","VIC","AU","andrew.hyatt@smmail.com","4334578965","","Cherry","","","","","1","","","Andrew Hyatt","","Host Plus",""
"Miss","2.5","Angela","Lindsay","f","30/11/-0001","angela.lindsay@smmail.com","Melbourne","Melbourne","3000","VIC","AU","angela.lindsay@smmail.com","","","Lily","","","","","1","","","Angela Lindsay","","HOST Plus",""
"Mr","1.9","Brian","Hudson","m","30/11/-0001","brian.hudson@smmail.com","Hawthorn","Melbourne","3122","VIC","AU","brian.hudson@smmail.com","4334578964","","Berry","","","","","1","","","Brian Hudson","","HOST Plus",""
"Mr","3.4","Edward","Chaplin","m","30/11/-0001","edward.chaplin@smmail.com","Sandringham","Melbourne","3058","VIC","AU","edward.chaplin@smmail.com","4334578969","","Edith","","","","","1","","","Edward Chaplin","","HOST Plus",""
"Miss","4.9","Fiona","Harris","f","30/11/-0001","fiona.harris@smmail.com","Camberwell","Melbourne","3123","VIC","AU","fiona.harris@smmail.com","","","Fendy","","","","","1","","","Fiona Harris","","HOST Plus",""
"Mr","0","Gary","Burke","m","30/11/-0001","gary.burke@smmail.com","KEW","Melbourne","3121","VIC","AU","gary.burke@smmail.com","4334578967","","Glenn","","","","","1","","","Gary Burke","","HOST Plus",""
"Mr","0","Howard","Leigh","m","30/11/-0001","howard.leigh@smmail.com","Camberwell","Mel","3123","VIC","AU","howard.leigh@smmail.com","4334578961","","Henny","","","","","1","","","Howard Leigh","","HOST Plus",""
"Miss","0","Jess","Killer","f","30/11/-0001","jess.killer@smmail.com","Melbourne","Melbourne","3000","VIC","AU","jess.killer@smmail.com","","","Sam","","","","","1","","","Jess Killer","","HOST Plus",""
"Miss","0","Judith","Palse","f","30/11/-0001","judith.palse@smmail.com","Cranbourne","Melbourne","3400","VIC","AU","judith.palse@smmail.com","43345744448","","Jade","","","","","1","","","Judith Palse","","HOST Plus",""
"Miss","0","Kelly","Chen","f","30/11/-0001","kelly.chen@smmail.com","Melbourne","Melbourne","3000","VIC","AU","kelly.chen@smmail.com","","","Ken","","","","","1","","","Kelly Chen","","HOST Plus",""
"Miss","1.4","Lily","Clipton","f","30/11/-0001","lily.clipton@smmail.com","Dandenong","Melbourne","3600","VIC","AU","lily.clipton@smmail.com","","","Lusi","","","","","1","","","Lily Clipton","","HOST Plus",""
"Mrs","3","Lucy","Dale","f","30/11/-0001","lucy.dale@smmail.com","Brighton","Melbourne","3300","VIC","AU","lucy.dale@smmail.com","","","Lina","","","","","1","","","Lucy Dale","","HOST Plus",""
"Mr","1.7","Luke","Smith","m","30/11/-0001","luke.smith@smmail.com","East Camberwell","Melbourne","3123","VIC","AU","luke.smith@smmail.com","4334578977","","Lucy","","","","","1","","","Luke Smith","","HOST Plus",""
"Mr","2.4","Paul","Gilbert","m","30/11/-0001","paul.gilbert@smmail.com","Glen Huntly","Melbourne","3151","VIC","AU","paul.gilbert@smmail.com","4334578976","","Pillip","","","","","1","","","Paul Gilbert","","HOST Plus",""
"Miss","0","Rachel","Gibson","f","30/11/-0001","rachel.gibson@smmail.com","Melbourne","Melbourne","3000","VIC","AU","rachel.gibson@smmail.com","4334578448","","Randy","","","","","1","","","Rachel Gibson","","HOST Plus",""
"Mr","0","Richard","Gerald","m","30/11/-0001","richard.gerald@smmail.com","Dandenong","Melbourne","3076","VIC","AU","richard.gerald@smmail.com","4334578968","","Rain","","","","","1","","","Richard Gerald","","HOST Plus",""
"Mrs","0","Rio","Christian","f","30/11/2012","rio.chris@smmail.com","Hawthorn","Melbourne","3122","VIC","AU","rio.chris@smmail.com","4334578978","","Rena","","","","","1","","","Rio Chris","","HOST Plus",""
"Miss","0","Sheila","Hondie","f","30/11/-0001","sheila.hondie@smmail.com","Glen Roy","Melbourne","3145","VIC","AU","sheila.hondie@smmail.com","","","Jes","","","","","1","","","Sheila Hondie","","HOST Plus",""
"Mr","2.4","Stafford","Mastered","m","30/11/2012","propagate.au@gmail.com","Prahran","Melbourne","3181","VIC","AU","propagate.au@gmail.com","98185698","","Mr Stafford Mastered","059 554 315","Propagate","","","2","","12 345 567 789","","","",""
"Miss","0","Susie","Howie","f","30/11/-0001","susie.howie@smmail.com","Hawthorn","Mel","3121","VIC","AU","susie.howie@smmail.com","4334578974","","Sean","","","","","1","","","Susie Howie","","HOST Plus",""
"Mr","4.9","Thomas","Edison","m","30/11/-0001","thomas.edison@smmail.com","Melbourne","Melbourne","3000","VIC","AU","thomas.edison@smmail.com","4334578962","","Teddy","","","","","1","","","Thomas Edison","","HOST Plus",""
"Mr","0","William","Tent","m","30/11/-0001","william.tent@smmail.com","Melbourne","Mel","3000","VIC","AU","william.tent@smmail.com","4334578963","","Wendy","","","","","1","","","William Tent","","HOST Plus",""
